timestamp	time	fix	state	rawx	rawy	avgx	avgy	psize	Lrawx	Lrawy	Lavgx	Lavgy	Lpsize	Lpupilx	Lpupily	Rrawx	Rrawy	Ravgx	Ravgy	Rpsize	Rpupilx	Rpupily
2020-08-11 13:32:51.154	516678866	False	7	499.5114	435.6007	791.5325	441.9979	19.7908	463.7917	362.4065	791.5325	441.9979	18.7192	0.3104	0.4912	535.2311	508.7949	535.2311	508.7949	20.8624	0.4502	0.4971
2020-08-11 13:32:51.188	516678900	False	7	550.2649	437.253	613.6271	442.3832	19.32915	576.7002	429.3989	736.7375	438.6489	18.5327	0.3106	0.4917	523.8297	445.1071	523.8297	445.1071	20.1256	0.4501	0.4971
2020-08-11 13:32:51.220	516678932	False	7	528.5939	423.2388	614.6458	441.2212	19.3615	547.2128	377.9097	697.4409	426.16	18.885	0.3104	0.4922	509.9751	468.5678	516.8936	456.8524	19.838	0.4501	0.4976
2020-08-11 13:32:51.254	516678966	False	7	533.355	424.7049	584.4955	443.8259	18.9558	526.8416	416.0502	526.8416	416.0502	18.4757	0.3103	0.4923	539.8685	433.3596	524.5727	449.0081	19.4359	0.4502	0.4976
2020-08-11 13:32:51.291	516679003	False	7	561.8112	431.802	580.0434	440.7074	19.35755	607.359	416.0475	607.359	416.0475	18.9753	0.3107	0.4921	516.2632	447.5565	522.4974	448.6268	19.7398	0.4502	0.4974
2020-08-11 13:32:51.320	516679032	False	7	540.4255	431.0463	574.7666	439.4997	18.6946	572.2595	434.3624	589.7868	425.2166	18.4048	0.3106	0.492	508.5916	427.7303	519.6772	444.3692	18.9844	0.4502	0.4972
2020-08-11 13:32:51.420	516679132	False	7	555.3897	411.5161	548.4273	388.4151	17.59995	569.2363	430.4879	577.4527	420.0001	17.2767	0.3108	0.4912	541.5432	392.5444	524.9513	368.6677	17.9232	0.4504	0.4963
2020-08-11 13:32:51.454	516679166	False	7	542.4601	393.2912	548.3453	389.9334	17.3697	568.374	423.0907	575.864	420.5572	17.1894	0.3108	0.4915	516.5462	363.4917	522.1659	366.9756	17.55	0.4504	0.4965
2020-08-11 13:32:51.520	516679232	False	7	1403.0696	375.9388	588.0068	382.9032	16.80135	1396.5371	330.909	1396.5371	330.909	16.0369	0.3167	0.4903	1409.6021	420.9686	732.3978	377.9967	17.5658	0.4562	0.4966
2020-08-11 13:32:51.554	516679266	False	7	1291.7073	342.9667	1316.1057	246.7623	16.56475	1316.1057	246.7623	1316.1057	246.7623	15.7948	0.3165	0.4899	1267.309	439.1711	1267.309	439.1711	17.3347	0.456	0.4966
2020-08-11 13:32:51.587	516679299	False	7	1295.6796	350.5004	1307.9624	355.5947	16.95395	1276.738	297.3199	1296.3969	272.0733	16.7121	0.3164	0.4902	1314.6211	403.6809	1314.6211	403.6809	17.1958	0.4563	0.4967
2020-08-11 13:32:51.620	516679332	False	7	1272.9497	409.114	1299.2051	360.7966	16.9774	1280.7832	380.8187	1291.1367	308.5188	16.5402	0.3164	0.4905	1265.1161	437.4093	1289.8369	420.5666	17.4146	0.4561	0.4967
2020-08-11 13:32:51.653	516679365	False	7	1322.791	323.0192	1299.479	357.3098	16.7332	1317.9285	270.4193	1297.8499	299.0793	16.697	0.3164	0.4901	1327.6536	375.619	1302.4542	405.549	16.7694	0.4561	0.4966
2020-08-11 13:32:51.753	516679465	False	7	1363.2883	331.3576	1324.3037	298.4938	15.7591	1329.2186	259.0857	1329.2186	259.0857	15.1072	0.3159	0.4915	1397.3582	403.6296	1310.4795	409.338	16.411	0.4558	0.4978
2020-08-11 13:32:51.820	516679532	False	7	1322.8418	389.6982	1313.1968	362.7963	16.147	1343.6691	392.7056	1330.4996	317.7813	16.1507	0.3157	0.492	1302.0145	386.6909	1303.432	413.4709	16.1433	0.4552	0.4975
2020-08-11 13:32:51.887	516679599	False	7	1289.1536	367.9276	1313.926	355.1187	16.2867	1309.1328	249.4857	1321.0874	294.4746	15.3586	0.3156	0.4906	1269.1743	486.3696	1301.9702	417.4062	17.2148	0.455	0.4971
2020-08-11 13:32:51.920	516679632	False	7	1337.1455	333.6394	1313.8855	355.981	15.883799999999999	1343.7638	249.3198	1324.9098	286.7266	14.9744	0.3157	0.4901	1330.5271	417.959	1304.7854	417.5599	16.7932	0.4552	0.4965
